[24288:31340:0430/171307.018:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[24288:4868:0430/171307.121:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[24288:31340:0430/171307.139:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[24288:32216:0430/171310.930:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24288:32216:0430/171310.939:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24288:32216:0430/171310.941:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24288:32216:0430/171310.943:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\fredd\Documents\Github\GAD101-TheStorageUnit\GAD101TheStorageUnit\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24288:6332:0430/171311.513:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24288:6332:0430/171311.523:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[31112:33656:0430/171312.480:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-CAFA74835B76214442E00310710B8719 will be ignored
[24288:31340:0430/171314.055:ERROR:device_event_log_impl.cc(196)] [17:13:13.504] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[24288:17288:0430/202412.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=24})
[24288:17288:0430/202420.944:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202424.978:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=26})
[24288:17288:0430/202427.975:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202529.995:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=26})
[24288:17288:0430/202541.020:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202545.008:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=26})
[24288:17288:0430/202547.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202550.019:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=26})
[24288:17288:0430/202555.028:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202558.013:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=26})
[24288:17288:0430/202559.012:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202701.076:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=24})
[24288:17288:0430/202712.071:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202714.072:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=24})
[24288:17288:0430/202724.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202725.087:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=24})
[24288:17288:0430/202747.103:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
[24288:17288:0430/202748.092:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=24})
[24288:17288:0430/202802.108:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000FA4023C2540}, {new_limit=25})
